track_id,key
000010,F# major
000141,F major
000153,C major
000173,F# major
000181,F# major
000184,Bb major
000213,D major
000251,A major
000331,A minor
000347,A minor
000384,Ab major
000411,G major
000532,Eb minor
000533,C minor
000534,Bb major
000535,E minor
000536,E major
000538,Ab major
000540,Ab major
000542,D minor
000546,Ab major
000547,C major
000549,Eb major
000564,C major
000565,A major
000566,C major
000567,Bb major
000569,F# major
000570,A minor
000571,F# major
000572,E major
000573,G minor
000574,Ab minor
000579,E minor
000580,A minor
000608,D minor
000610,Bb major
000611,C major
000612,G major
000625,C major
000634,E major
000670,Db minor
000671,Db minor
000678,Db minor
000679,Db minor
000692,G major
000705,D major
000706,F minor
000708,G major
000805,B major
000814,Db minor
001007,D major
001014,C minor
001015,F minor
001016,Db minor
001017,F minor
001042,G major
001044,D minor
001045,D minor
001046,G minor
001049,C major
001050,E minor
001073,G minor
001076,B minor
001083,C minor
001085,D minor
001086,E minor
001088,B minor
001091,A minor
001116,B minor
001133,G minor
001156,E major
001157,E major
001159,G major
001160,E major
001161,E minor
001162,E major
001163,E minor
001165,C major
001167,C minor
001168,A minor
001170,C major
001171,D minor
001172,A minor
001173,D major
001174,F# major
001175,A minor
001177,Db minor
001179,D major
001181,D major
001182,A major
001183,E major
001186,A minor
001187,A minor
001189,F# minor
001190,E minor
001191,F major
001192,C minor
001193,Ab major
001194,A minor
001198,D minor
001199,Eb minor
001219,C major
001231,E minor
001232,F# major
001235,F# major
001275,E minor
001277,Eb major
001354,F# minor
001381,A minor
001417,E major
001418,A major
001419,E minor
001420,E minor
001450,Bb major
001451,A minor
001474,B minor
001475,Eb major
001476,G minor
001499,C major
001526,Bb minor
001529,Db minor
001530,B minor
001531,Eb minor
001534,E minor
001535,C minor
001536,E minor
001540,A major
001541,F# minor
001542,A minor
001546,A major
001590,D major
001592,D minor
001593,Db minor
001595,B minor
001596,G major
001599,A major
001601,Db minor
001603,Eb minor
001604,E minor
001605,G major
001610,D major
001611,C major
001612,E major
001614,D major
001615,C major
001616,A minor
001617,A minor
001618,C major
001619,A minor
001643,Eb major
001708,B minor
001727,D major
001841,Db major
001844,C major
001886,E major
001887,C major
001892,E minor
001893,D major
001894,C major
001895,A minor
001896,Db major
001898,C minor
001899,A minor
001900,D major
001901,C major
001913,D major
001914,C major
001920,C major
001923,G major
001940,G major
001941,E minor
001942,F# major
001944,E minor
002070,A major
002099,Db major
002126,A minor
002127,G major
003429,D major
003465,A minor
003542,C major
003545,G major
003581,E major
003612,B major
003619,E major
003694,E minor
003700,Db minor
003702,E minor
003741,D major
003853,D major
003863,E minor
003941,E major
003956,B minor
004195,E major
004198,Bb major
004203,E minor
004206,C major
004211,G major
004224,A minor
004345,G major
004350,D major
004400,A minor
004401,E major
004402,F# minor
004403,E minor
004684,Bb major
004686,F# minor
004717,C major
004776,A minor
004798,D major
004856,Ab minor
004858,G minor
004886,E major
004926,Db major
004928,G major
004929,F minor
004971,D major
004989,G minor
004994,G major
005007,Db major
005012,D minor
005021,D major
005023,D major
005049,A major
005050,Bb major
005051,Ab major
005052,C major
005054,F major
005055,F major
005056,G major
005058,Ab minor
005059,C major
005060,D minor
005061,B major
005064,D major
005078,D major
005095,C major
005153,A major
005178,E major
005179,D major
005181,E major
005192,E major
005195,G major
005240,Eb major
005376,E minor
005562,A major
005566,A major
005601,G major
005619,G major
005990,C major
006460,A major
006603,G minor
006607,Ab minor
006669,C minor
006670,E minor
007011,E major
007012,E minor
007014,G major
007015,C major
007179,B minor
007202,G major
007390,A major
007391,D major
007456,B major
007477,A major
007481,Eb minor
007482,Db minor
007484,C minor
007487,Bb major
007488,F minor
007489,Eb minor
007490,F minor
007492,F major
007528,A minor
007529,G major
007713,Bb major
007827,Db major
007893,C major
007896,A major
007898,C major
007901,A major
007934,G minor
007995,E major
008017,A major
008283,A minor
008910,Eb minor
008913,Eb minor
008914,E major
008915,Ab major
009485,C major
009486,A major
009487,C major
009488,E major
009489,A major
009491,C minor
009494,B minor
009510,C minor
009581,Bb major
009583,Eb major
009587,B minor
009655,G major
009659,C major
009662,Ab major
009663,Eb major
009664,Bb major
009665,C major
009666,C major
009695,A minor
009699,C minor
009866,Bb major
009867,Bb major
009904,Eb major
009905,F major
009906,Bb major
009907,Eb major
009913,Eb major
009916,F# major
009985,G major
009986,B major
009987,B minor
009988,E major
009989,G major
009990,E minor
009999,B minor
010000,F major
010001,B major
010002,F minor
010003,G major
010060,Eb major
010109,F minor
010190,D major
010194,B minor
010381,A minor
010382,Eb minor
010383,F# minor
010388,C major
010408,A minor
010412,A minor
010415,Db major
010433,C major
010438,A major
010439,D major
010440,G major
010441,B minor
010442,Bb minor
010443,C minor
010447,G minor
010518,E major
010575,E major
010604,G major
010941,D minor
010992,E major
011019,Ab minor
011135,F minor
011154,F minor
011156,F minor
011205,D minor
011304,D major
011305,E major
011306,D major
011307,E major
011308,E minor
011309,D minor
011310,A minor
011434,A major
011436,E major
011438,E major
011444,G minor
011472,F major
011477,G major
011623,E minor
011657,C major
011938,A minor
011940,E major
011954,Eb major
011956,G major
011960,Eb major
011999,A minor
012000,B major
012003,D major
012008,B minor
012013,B minor
012014,E major
012018,G minor
012020,G minor
012021,G major
012100,C major
012105,F minor
012131,A minor
012147,D minor
012176,A minor
012189,Bb minor
012191,D major
012290,G minor
012389,A major
012390,A minor
012491,Bb major
012492,F major
012494,D minor
012496,Ab minor
012497,D minor
012500,G minor
012501,A minor
012502,E major
012503,C minor
012504,C minor
012507,Bb major
012556,Ab major
012590,C major
012592,A minor
012650,B minor
012672,G major
012676,G minor
012851,Ab minor
012855,F# major
012901,F# minor
012945,A major
012946,C minor
012947,C major
012951,Ab major
012953,Bb major
013079,Db major
013088,C major
013090,Db minor
013177,Ab minor
013200,D minor
013217,Ab major
013247,A minor
013249,A minor
013324,Ab minor
013328,F minor
013362,E minor
013380,G minor
013459,D minor
013474,D minor
013569,E minor
013591,D minor
013597,E minor
013709,C minor
013765,C major
013776,Ab minor
013912,G major
013914,E major
013927,E major
013938,C major
013939,C major
013967,E major
013976,A major
013980,E major
013998,A major
014006,D major
014007,D major
014010,F major
014012,A major
014014,E major
014016,E minor
014019,G major
014020,C major
014032,E major
014033,G major
014035,A minor
014039,A minor
014063,C major
014064,B major
014067,Eb minor
014068,Ab minor
014130,Db minor
014131,B major
014132,E major
014152,C minor
014191,C minor
014229,G minor
014240,E minor
014243,B minor
014244,A major
014245,C major
014263,C major
014279,D minor
014281,D minor
014282,D major
014283,G minor
014284,D minor
014286,G minor
014287,D minor
014288,D major
014289,G minor
014345,F# minor
014347,A minor
014364,F# minor
014365,F minor
014372,F minor
014375,Bb major
014384,D major
014386,B minor
014479,E minor
014635,D minor
014643,Eb major
014651,C major
014653,Eb major
014657,E minor
014661,C major
014684,E major
014685,E minor
014686,Eb minor
014693,A major
014737,G major
014738,G major
014747,F minor
014748,G minor
014796,Db minor
014882,D major
014886,C major
014887,E minor
014891,E major
014895,G major
014896,E major
014897,E major
014907,C major
014908,G major
014922,D minor
014934,E major
014935,B major
014941,D major
014942,A major
014952,A major
014953,G major
014954,E major
014957,A major
014959,G major
014964,A major
014967,D minor
014968,E minor
014969,G major
014978,G major
014979,C minor
014990,E major
014999,E major
015000,A major
015001,E minor
015044,F# major
015124,E major
015142,Ab major
015228,A minor
015307,B minor
015438,Bb minor
015441,B minor
015446,B minor
015479,G major
015763,D minor
015893,D minor
015953,B minor
015954,Db minor
015956,D minor
015957,A minor
015958,Db minor
016062,D major
016115,C minor
016117,Ab minor
016118,A minor
016119,F# major
016120,Eb major
016121,F major
016122,A minor
016123,F minor
016124,A minor
016126,C major
016127,E minor
016128,G minor
016157,F minor
016241,Bb minor
016242,D major
016248,B minor
016343,C major
016354,Eb minor
016392,D major
016650,F minor
016651,F minor
016652,G minor
016655,E minor
016657,A minor
016673,Bb major
016690,E major
016692,G major
016695,Bb major
016696,E major
016697,Db minor
016699,E minor
016702,Db minor
016703,F# major
016983,D minor
017132,A major
017133,Db major
017327,B major
017328,D major
017355,D major
017364,D major
017439,Db major
017524,A major
017571,E minor
017576,C minor
017589,B minor
017595,Db minor
017601,D major
017602,F# major
017603,D major
017831,G major
017839,B minor
017845,B minor
017992,Eb minor
018101,E major
018104,E major
018113,A major
018140,A major
018141,E major
018142,D major
018307,B minor
018347,F major
018383,B major
018384,A major
018394,A major
018584,D major
018586,C minor
018599,D minor
018603,F major
018616,D major
018636,Db major
018642,Eb major
018683,E minor
018694,Ab major
018710,A minor
018712,F major
018713,Eb major
018715,Bb major
018742,B minor
018743,C major
018744,E major
018745,C major
018746,A minor
018747,G minor
018751,A major
018753,B minor
018803,G minor
018823,E major
018887,A minor
018888,E minor
018891,G major
019070,D minor
019207,Eb major
019246,F# minor
019250,G minor
019252,G minor
019253,B minor
019254,B major
019255,B minor
019256,D minor
019257,D minor
019260,D minor
019261,A minor
019264,D minor
019297,D major
019322,D major
019323,A major
019392,Bb major
019397,A major
019424,Db minor
019426,A minor
019440,B minor
019443,F# minor
019539,E minor
019637,F major
019638,C minor
019639,F minor
019649,E minor
019658,G minor
019668,B major
019670,D major
019671,B minor
019680,A minor
019683,C major
019684,Ab major
019705,F minor
019707,G minor
019708,Db major
019718,F# minor
019720,Eb minor
019721,F major
019722,B major
019724,C major
019726,Ab major
019741,Bb minor
019742,Bb minor
019757,G minor
020013,A minor
020033,D major
020044,F major
020052,D major
020053,C major
020055,B major
020123,D major
020124,G minor
020129,A major
020152,B major
020206,Ab major
020210,C major
020227,E major
020229,G major
020230,E minor
020256,B minor
020263,A major
020265,Ab major
020266,F# major
020432,E minor
020434,Eb major
020565,G major
020690,F minor
020761,Eb minor
020824,B minor
020826,F# major
021011,A minor
021014,D minor
021064,F minor
021065,Bb minor
021083,G major
021084,A major
021085,F# minor
021086,B major
021100,Eb minor
021189,E major
021202,D major
021220,Eb major
021260,G minor
021298,G major
021302,Eb major
021368,F major
021378,D minor
021379,F# major
021381,Bb major
021553,G major
021555,A minor
021556,Ab minor
021557,Bb major
021559,Db minor
021617,A minor
021820,G minor
021823,C major
021826,F minor
021827,D major
021828,B minor
021829,F major
021831,E minor
021834,F minor
021859,C minor
021860,G minor
021961,F minor
022058,Bb major
022059,A major
022060,F# major
022061,Bb major
022062,E minor
022097,Eb major
022195,B major
022284,C major
022285,C major
022295,F minor
022311,D major
022317,E minor
022318,F minor
022319,G major
022322,Db minor
022323,E minor
022328,D major
022453,C minor
022556,D major
022562,D major
022563,G major
022576,D minor
022943,B major
022954,C major
022974,D minor
022996,F major
022997,Bb minor
023011,A minor
023014,F# minor
023015,E major
023025,G major
023026,D major
023059,D major
023060,E major
023096,F# minor
023107,E minor
023108,E minor
023172,A minor
023173,A major
023177,E minor
023181,A minor
023338,B major
023339,F# major
023340,D major
023341,E major
023342,E minor
